true_mass,pred_mass,absolute_error,relative_error,original_log10_mass,original_mass
-0.42236242,-0.42513752,0.0027751029,0.65704304,1.7247801513296386,53.06157677741849
0.65263534,0.6970737,0.044438362,6.809065,9.683501751997452,4825049265.401102
0.37647137,0.40293288,0.026461512,7.028825,6.216410158214655,1645925.441218009
0.39532456,0.48475838,0.08943382,22.622885,6.407384373558903,2554961.578249433
-0.17625678,-0.19251727,0.01626049,9.225455,2.5602074538009334,363.2515313358668
-0.27860796,-0.31456196,0.035954,12.904871,2.172370922299459,148.7205292548616
-0.9102477,-0.94334745,0.03309977,3.6363475,0.7882541128114381,6.141212324468884
-0.9930115,-0.9759226,0.01708889,1.7209158,0.6902047324406889,4.900097623257403
2.263099,2.3523629,0.089263916,3.944322,128.3995303779668,2.5091716845007147e+128
-0.14391547,-0.16909428,0.025178805,17.49555,2.6966079490624115,497.28796520696926
-0.5818429,-0.51675415,0.06508875,11.186653,1.3352792648916822,21.641096663900694
-0.7850356,-0.68089867,0.104136944,13.26525,0.9637003578860425,9.19814725254656
-0.21009749,-0.23530762,0.025210127,11.999251,2.4248640108206683,265.98920462814476
1.9755329,2.0672348,0.091701865,4.64188,80.93252849684671,8.561078846069063e+80
-0.65945625,-0.63209826,0.027357996,4.1485686,1.1788913388213427,15.09702376940306
-0.33097717,-0.29010975,0.040867418,12.347504,1.9972453170229145,99.36771817160985
-0.13940805,-0.13238518,0.0070228726,5.0376377,2.7161865104073097,520.2193599366071
1.1374762,1.2761862,0.13871002,12.194543,21.085208676376432,1.2167705124932438e+21
-1.3708739,-1.3206654,0.05020857,3.6625226,0.37635610405902753,2.3787899995775326
2.211364,2.2773707,0.06600666,2.9848843,118.16882714714525,1.475119306538278e+118
-0.24623677,-0.242936,0.0033007711,1.3404866,2.288218333135874,194.18618656700673
0.24809805,0.23444197,0.01365608,5.5043077,5.058950639606535,114538.2753845305
-0.87268806,-0.7982434,0.07444465,8.530499,0.8372327277616147,6.874367218083987
-0.22524956,-0.25207043,0.026820868,11.907179,2.366606424739124,232.59824027221197
-0.2842072,-0.27155,0.012657195,4.45351,2.152936294526316,142.2120164891726
0.48292014,0.52058077,0.03766063,7.798521,7.374574282892285,23690503.058465302
