true_mass,pred_mass,absolute_error,relative_error,original_log10_mass,original_mass
0.2832663,0.23059426,0.052672043,18.594532,0.2832663,1.9198455876902367
-0.3467888,-0.38986298,0.04307419,12.420872,-0.3467888,0.4499986387162741
0.12698856,0.039998084,0.086990476,68.50261,0.12698856,1.3396413986988378
0.64328194,0.6097725,0.033509433,5.2091365,0.64328194,4.398270544710355
0.30533376,0.2597443,0.045589477,14.93103,0.30533376,2.0199180962169283
0.34241787,0.2889606,0.05345726,15.611704,0.34241787,2.199975630014484
-0.4204518,-0.48875627,0.06830448,16.245497,-0.4204518,0.379794087927841
0.95423937,0.8591176,0.09512174,9.968331,0.95423937,8.999934940799443
0.32623005,0.2665887,0.05964136,18.281994,0.32623005,2.119483548941774
0.74810696,0.68160105,0.06650591,8.889894,0.74810696,5.598954780947191
0.113891035,0.07533941,0.03855163,33.84957,0.113891035,1.2998434048662333
0.29665774,0.26153243,0.035125315,11.84035,0.29665774,1.9799660336662868
-0.036299795,-0.09119913,0.054899335,151.2387,-0.036299795,0.9198144014494635
0.44404295,0.41066706,0.03337589,7.5163646,0.44404295,2.779988183959133
0.8195044,0.7269074,0.09259701,11.299148,0.8195044,6.599399203281153
-0.0969387,-0.18149796,0.08455926,87.22962,-0.0969387,0.7999471583532168
0.02530405,0.019933581,0.005370468,21.22375,0.02530405,1.0599955694195635
1.4135021,1.3527029,0.06079924,4.3013196,1.4135021,25.91206950920816
0.15833378,0.114412636,0.043921143,27.73959,0.15833378,1.4399048018056932
1.8725944,1.7256352,0.14695919,7.8478923,1.8725944,74.57519540639288
0.41484383,0.33755124,0.07729259,18.631733,0.41484383,2.599224727621905
-0.045767725,-0.11107293,0.0653052,142.68834,-0.045767725,0.8999787911492192
0.3540926,0.27693638,0.077156216,21.78984,0.3540926,2.25991757707763
0.47711915,0.43854478,0.038574368,8.08485,0.47711915,2.999985461146871
0.33023003,0.29289776,0.037332267,11.304928,0.33023003,2.1390947902525816
-0.34704378,-0.36295906,0.015915275,4.5859556,-0.34704378,0.44973451614185134
0.39086482,0.31645298,0.07441184,19.037743,0.39086482,2.4596019008057435
0.31791592,0.26978534,0.04813057,15.139402,0.31791592,2.0792940939804203
0.29665306,0.25481606,0.041837007,14.103009,0.29665306,1.9799446974727664
0.53147346,0.48268,0.048793465,9.18079,0.53147346,3.399957278234301
0.39075756,0.32616574,0.064591825,16.529898,0.39075756,2.458994514952531
1.0791614,0.9851471,0.09401429,8.711791,1.0791614,11.999451645968232
-1.0609627e-05,-0.05930659,0.059295982,558888.5,-1.0609627e-05,0.9999755707294271
0.008528441,-0.08254066,0.0910691,1067.8282,0.008528441,1.0198315444052042
0.43436506,0.3801294,0.054235667,12.486195,0.43436506,2.7187236179723406
-0.008973777,-0.035143286,0.026169509,291.622,-0.008973777,0.979549129474344
0.2405352,0.20398208,0.036553115,15.196577,0.2405352,1.739943716493309
-0.008779585,-0.052641302,0.043861717,499.5876,-0.008779585,0.9799872265416147
-0.07101813,-0.009155214,0.061862916,87.10863,-0.07101813,0.8491450260004495
1.756743,1.6982752,0.058467746,3.32819,1.756743,57.114055601900525
0.8691967,0.76175517,0.107441545,12.361016,0.8691967,7.399403318319561
0.32220325,0.28053552,0.04166773,12.932126,0.32220325,2.099922418266311
-0.69961154,-0.72361255,0.024001002,3.4306183,-0.69961154,0.1997047800104572
0.84492755,0.7865594,0.058368146,6.908065,0.84492755,6.9972525649551764
0.2095092,0.20032719,0.009182006,4.3826265,0.2095092,1.6199783108089139
0.38738778,0.35266772,0.034720063,8.962612,0.38738778,2.439988503066595
0.41144794,0.3082652,0.10318273,25.077957,0.41144794,2.5789797969356285
-0.2596605,-0.3618358,0.102175295,39.34957,-0.2596605,0.5499706331029732
0.7633956,0.6522307,0.11116493,14.561903,0.7633956,5.799567400310031
0.18166056,0.10478869,0.07687187,42.31621,0.18166056,1.5193595500900605
0.25526553,0.22331606,0.031949475,12.516172,0.25526553,1.7999710908481419
1.0306656,0.91480064,0.11586499,11.241763,1.0306656,10.731627754784114
-0.44379,-0.48823902,0.04444903,10.01578,-0.44379,0.35992333144551697
0.41814223,0.34109384,0.07704839,18.426361,0.41814223,2.6190405948767137
-0.2598004,-0.32686374,0.06706333,25.813406,-0.2598004,0.5497934986848333
0.025175959,-0.020035356,0.045211315,179.58131,0.025175959,1.0596829799734437
1.1343591,1.063423,0.070936084,6.2534065,1.1343591,13.625708698455545
0.18751758,0.18274358,0.004774004,2.545897,0.18751758,1.5399888626937148
-0.46852675,-0.47257653,0.004049778,0.8643643,-0.46852675,0.33999556342096005
0.55630064,0.52600235,0.030298293,5.4463882,0.55630064,3.599984575562982
1.6988446,1.5823493,0.11649525,6.8573227,1.6988446,49.98556437653773
0.6626386,0.6201587,0.042479932,6.4107237,0.6626386,4.598737284315619
0.07170999,0.0011529028,0.07055709,98.39227,0.07170999,1.1795327128566135
0.39093032,0.34030092,0.050629407,12.951006,0.39093032,2.459972884275761
0.23026752,0.13886619,0.09140134,39.693542,0.23026752,1.6992900716899626
-6.249547e-05,-0.07680079,0.0767383,122790.17,-6.249547e-05,0.9998561092156705
0.22010618,0.20688762,0.013218567,6.005541,0.22010618,1.6599927069312053
-0.49529043,-0.51374996,0.018459529,3.727011,-0.49529043,0.3196756596386288
0.81931406,0.7590281,0.060285985,7.3581047,0.81931406,6.596507491614572
-0.07064614,-0.15329114,0.082645,116.98445,-0.07064614,0.8498726630967777
0.17018065,0.13663968,0.033540964,19.709036,0.17018065,1.4797237690258547
0.08635697,0.06480259,0.02155438,24.959631,0.08635697,1.2199919639510886
0.21993585,0.18552464,0.034411207,15.64602,0.21993585,1.6593417865757887
0.19298413,0.16345805,0.029526085,15.299747,0.19298413,1.5594955146609801
0.8450892,0.73055804,0.11453116,13.552552,0.8450892,6.999857517254767
0.22530499,0.20229861,0.02300638,10.211216,0.22530499,1.6799833982145185
-0.4318016,-0.45107922,0.019277632,4.464465,-0.4318016,0.36999716805040683
0.34216022,0.29058093,0.051579297,15.074603,0.34216022,2.1986708572376874
0.33827254,0.30464223,0.03363031,9.94178,0.33827254,2.179076815485365
0.13969406,0.13528454,0.004409522,3.1565561,0.13969406,1.3794121913576534
0.37643066,0.3136307,0.06279996,16.68301,0.37643066,2.3791984048377164
0.24550568,0.2137742,0.03173147,12.924944,0.24550568,1.7599716817632398
1.8946972,1.7672802,0.12741697,6.7249255,1.8946972,78.46883412636838
-0.34679,-0.40385535,0.057065368,16.45531,-0.34679,0.44999739532580313
0.39793354,0.34330913,0.05462441,13.727018,0.39793354,2.4999627636077992
0.008311957,0.02493307,0.016621113,199.9663,0.008311957,1.0193233127681995
